latitude,longitude,available_channels,occupied_channels,signal_strength,interference_level
-29.847913,27.837971,"[41, 25, 30, 22, 66, 50, 59, 58, 42]","[22, 41]",-72.76,Medium
-29.227662,27.407402,"[54, 61, 62, 31, 68]","[66, 23, 46, 44, 63]",-74.45,Low
-29.775912,27.511902,"[45, 58, 50, 22, 66, 30, 59, 42]","[22, 41]",-73.26,Medium
-29.705576,27.457631,"[41, 25, 30, 66, 58]","[22, 41]",-71.49,Low
-29.617443,27.580192,"[54, 31, 68, 59]","[66, 63]",-75.10,Low
-29.740832,27.525765,"[41, 58, 25, 30, 59]","[22, 41]",-70.94,Medium
-29.827943,27.477351,"[45, 58, 30, 22, 66, 59]","[41, 58]",-72.33,Medium
-28.812162,28.033095,"[45, 29, 54, 36]","[55, 33]",-64.97,High
-29.594264,28.746529,"[45, 50, 31, 58, 41, 25]","[22, 41]",-73.62,Low
-29.467852,28.631192,"[54, 25, 41, 30, 66]","[66, 23]",-74.83,Medium
-29.560184,28.750983,"[41, 25, 58, 30, 66]","[22, 41]",-70.98,Medium
-29.472221,28.682421,"[54, 31, 66, 42, 58]","[66, 23]",-71.39,Low
-29.492136,28.634232,"[45, 50, 58, 66, 30]","[41, 58]",-72.71,Low
-30.259839,27.970450,"[41, 58, 50, 25, 66]","[22, 41]",-74.56,Medium
-30.151876,28.030005,"[54, 68, 31, 66, 42]","[23, 46]",-70.44,Low
-30.110064,28.022393,"[45, 30, 58, 50, 66]","[22, 41]",-72.19,Medium
-30.221658,27.953760,"[41, 54, 30, 42, 58]","[66, 23]",-73.17,Low
-30.163212,28.015225,"[45, 31, 25, 41, 50]","[22, 41]",-71.86,Low
-29.080455,27.965892,"[54, 58, 25, 66, 30]","[41, 58]",-74.90,Low
-29.018445,28.073929,"[41, 31, 50, 25, 58]","[22, 41]",-73.71,Medium
-28.953644,28.045832,"[45, 58, 30, 66, 41]","[22, 41]",-72.84,Low
-28.907333,28.056107,"[41, 58, 50, 66, 25]","[22, 41]",-70.99,Medium
-29.071008,27.993293,"[45, 54, 58, 31]","[66, 23]",-74.01,Low
-29.655570,27.512330,"[45, 58, 50, 22, 66, 30, 59, 42]","[22, 41]",-73.26,Low
-29.655590,27.512350,"[41, 25, 30, 66, 58]","[22, 41]",-71.49,Low
-29.537860,28.668020,"[45, 50, 31, 58, 41, 25]","[22, 41]",-73.62,Low
-29.537875,28.668010,"[54, 25, 41, 30, 66]","[66, 23]",-74.83,Low
-30.179450,27.989820,"[45, 58, 50, 22, 66, 30]","[22, 41]",-74.56,Low
-30.179430,27.989840,"[41, 25, 30, 66, 58]","[22, 41]",-71.44,Low
-28.989635,28.020355,"[54, 58, 25, 66, 30]","[41, 58]",-74.90,Low
-28.989650,28.020370,"[45, 58, 30, 66, 41]","[22, 41]",-73.71,Low
-30.113452,27.236635,"[65, 60, 68, 26, 34, 58, 64, 40, 47, 52]","[23, 62, 39, 46]",-79.6,High
-29.524842,28.96865,"[48, 54]","[56, 29, 64, 47]",-90.32,High
-30.177938,29.110207,"[50, 63, 60, 62, 39]","[63, 21]",-77.72,Medium
-30.626321,28.652793,"[65, 63, 23, 51]","[40, 56, 53, 46, 21]",-84.76,Medium
-29.776809,29.033275,"[44, 46, 43, 23, 42, 56]","[41, 37, 51, 47, 48]",-79.67,Medium
-29.446563,27.413302,"[49, 60, 22, 68, 38, 33, 54, 63]","[56, 68]",-71.98,High
-30.123046,27.884814,"[42, 43, 26, 31, 51, 40, 41, 66]","[31, 54, 68, 43, 60]",-79.55,Low
-29.233132,27.000197,"[56, 68]","[28, 31, 33]",-73.07,High
-30.303269,28.961191,"[39, 55, 49]","[48, 32, 41, 36, 39]",-76.59,High
-30.341039,27.394636,"[36, 31, 48, 33, 26, 43]","[68, 61, 22]",-81.04,High
-28.889412,29.019211,"[52, 25, 34, 61, 30, 33, 21, 68, 23]","[31, 58, 43, 52]",-74.84,High
-29.265741,28.372593,"[50, 63, 24, 45, 38, 36]","[31, 42, 61, 23]",-90.43,Medium
-28.655416,27.421836,"[62, 25, 37, 56]","[43, 60]",-89.59,High
-29.275645,27.36438,"[66, 48, 58, 54, 50, 56, 30]","[40, 54, 51, 30, 43]",-77.14,Low
-30.278027,27.584791,"[65, 21]","[62, 22, 46]",-73.74,High
-29.488904,28.332883,"[57, 54, 23, 47, 30, 34, 25, 28]","[46, 61, 65]",-85.87,High
-30.231317,28.357472,"[40, 47, 32, 61, 55, 36, 64, 58, 37, 28]","[53, 51]",-89.62,Medium
