latitude,longitude,available_channels,occupied_channels,signal_strength,interference_level
-29.847913,27.837971,"[41, 25, 30, 22, 66, 50, 59, 58, 42]","[22, 41]",-72.76,Medium
-29.775912,27.511902,"[45, 58, 50, 22, 66, 30, 59, 42]","[22, 41]",-73.26,Medium
-29.705576,27.457631,"[41, 25, 30, 66, 58]","[22, 41]",-71.49,Low
-29.617443,27.580192,"[54, 31, 68, 59]","[66, 63]",-75.10,Low
-29.740832,27.525765,"[41, 58, 25, 30, 59]","[22, 41]",-70.94,Medium
-29.827943,27.477351,"[45, 58, 30, 22, 66, 59]","[41, 58]",-72.33,Medium
-29.594264,28.746529,"[45, 50, 31, 58, 41, 25]","[22, 41]",-73.62,Low
-29.467852,28.631192,"[54, 25, 41, 30, 66]","[66, 23]",-74.83,Medium
-29.560184,28.750983,"[41, 25, 58, 30, 66]","[22, 41]",-70.98,Medium
-29.472221,28.682421,"[54, 31, 66, 42, 58]","[66, 23]",-71.39,Low
-29.492136,28.634232,"[45, 50, 58, 66, 30]","[41, 58]",-72.71,Low
-30.259839,27.970450,"[41, 58, 50, 25, 66]","[22, 41]",-74.56,Medium
-30.151876,28.030005,"[54, 68, 31, 66, 42]","[23, 46]",-70.44,Low
-30.110064,28.022393,"[45, 30, 58, 50, 66]","[22, 41]",-72.19,Medium
-30.221658,27.953760,"[41, 54, 30, 42, 58]","[66, 23]",-73.17,Low
-30.163212,28.015225,"[45, 31, 25, 41, 50]","[22, 41]",-71.86,Low
-29.080455,27.965892,"[54, 58, 25, 66, 30]","[41, 58]",-74.90,Low
-29.018445,28.073929,"[41, 31, 50, 25, 58]","[22, 41]",-73.71,Medium
-28.953644,28.045832,"[45, 58, 30, 66, 41]","[22, 41]",-72.84,Low
-28.907333,28.056107,"[41, 58, 50, 66, 25]","[22, 41]",-70.99,Medium
-29.071008,27.993293,"[45, 54, 58, 31]","[66, 23]",-74.01,Low
-29.655570,27.512330,"[45, 58, 50, 22, 66, 30, 59, 42]","[22, 41]",-73.26,Low
-29.655590,27.512350,"[41, 25, 30, 66, 58]","[22, 41]",-71.49,Low
-29.537860,28.668020,"[45, 50, 31, 58, 41, 25]","[22, 41]",-73.62,Low
-29.537875,28.668010,"[54, 25, 41, 30, 66]","[66, 23]",-74.83,Low
-30.179450,27.989820,"[45, 58, 50, 22, 66, 30]","[22, 41]",-74.56,Low
-30.179430,27.989840,"[41, 25, 30, 66, 58]","[22, 41]",-71.44,Low
-28.989635,28.020355,"[54, 58, 25, 66, 30]","[41, 58]",-74.90,Low
-28.989650,28.020370,"[45, 58, 30, 66, 41]","[22, 41]",-73.71,Low
-29.524842,28.96865,"[48, 54]","[56, 29, 64, 47]",-90.32,High
-29.776809,29.033275,"[44, 46, 43, 23, 42, 56]","[41, 37, 51, 47, 48]",-79.67,Medium
-29.446563,27.413302,"[49, 60, 22, 68, 38, 33, 54, 63]","[56, 68]",-71.98,High
-30.123046,27.884814,"[42, 43, 26, 31, 51, 40, 41, 66]","[31, 54, 68, 43, 60]",-79.55,Low
-29.265741,28.372593,"[50, 63, 24, 45, 38, 36]","[31, 42, 61, 23]",-90.43,Medium
-30.278027,27.584791,"[65, 21]","[62, 22, 46]",-73.74,High
-29.488904,28.332883,"[57, 54, 23, 47, 30, 34, 25, 28]","[46, 61, 65]",-85.87,High
-30.208986,27.670382,"[59, 61, 29, 55, 57, 40, 26, 51, 49, 39]","[28, 61, 41, 44, 55]",-79.41,Low
-29.231137,28.070104,"[64, 36, 28, 30, 48, 67]","[41, 46, 31, 57]",-83.99,High
-28.9368,28.214156,"[52, 41, 34]","[41, 34]",-82.83,High
-29.396749,27.73253,"[38, 46, 67, 40, 41]","[40, 55, 49, 43, 34]",-84.29,High
-29.257671,29.270659,"[22, 46, 55, 64]","[24, 27, 49]",-97.45,High
-29.060575,28.398596,"[62, 65, 56, 25, 29, 61, 32, 49, 44]","[56, 64, 55, 49, 28]",-68.93,Low
-29.729469,28.07499,"[54, 21, 40, 39]","[37, 39]",-67.84,Low
-28.975603,27.813616,"[43, 39, 64, 68, 23, 35]","[55, 48, 65, 40]",-72.53,Low
-29.163874,28.924818,"[24, 67, 33, 57, 46, 55, 34, 53, 65, 59]","[50, 30, 36]",-73.08,High
-29.131216,27.70586,"[21, 41, 51, 53, 33, 25, 57, 22, 39, 58]","[42, 64, 35, 45]",-71.36,High
-29.232293,28.897246,"[58, 44]","[25, 55, 58, 46, 38]",-86.78,Low
-29.903818,27.93324,"[55, 50, 59, 38, 67, 41]","[50, 58, 51, 65, 48]",-95.94,High
-28.84081,28.657035,"[62, 45, 23, 25, 41, 22, 51, 57, 58, 55]","[62, 40, 46, 30, 38]",-71.87,Low
-28.91811,27.751759,"[47, 54, 38, 48, 53, 62, 37, 60, 21]","[36, 53, 45, 24, 39]",-87.65,High
-29.643065,28.233615,"[49, 28, 22, 29, 35, 46, 55, 68, 54, 65]","[66, 23, 38, 27, 56]",-89.83,Low
-28.94507,28.509738,"[35, 45, 61, 29, 32, 49, 50, 55, 63, 33]","[21, 40, 62, 36]",-86.68,High
-29.129161,28.49079,"[66, 48, 36, 42, 46, 38]","[30, 35, 53]",-82.83,High
-29.466,28.07899,"[34, 55, 46, 50, 37, 63, 43]","[52, 23, 62, 43, 27]",-87.71,Medium
-29.776432,27.2035,"[45, 43, 51, 38, 30, 48, 35, 42]","[40, 63, 48, 55]",-84.53,Low
-29.443363,28.584857,"[44, 43, 53, 22, 67, 36]","[64, 21, 30, 42]",-69.79,High
-28.734828,28.179278,"[40, 44, 46]","[47, 26]",-75.94,High
-28.782691,28.200161,"[36, 42, 51, 55, 38, 46, 68, 63, 66]","[65, 51, 66, 38, 56]",-87.94,High
-29.86925,28.023378,"[53, 44, 38, 36, 58, 34, 29, 47, 57]","[59, 27, 63, 30]",-87.88,High
-30.421532,28.000294,"[61, 48, 27, 38]","[67, 50]",-89.14,Low
-30.00903,27.891499,"[60, 29, 25, 43, 21, 24]","[61, 48, 38, 56]",-91.8,Low
-29.606391,27.553169,"[51, 55, 36, 46, 27, 68, 32, 22, 38]","[39, 50, 23]",-77.24,Medium
-30.010147,27.604489,"[53, 63, 45, 26, 42, 34, 55, 28, 37, 64]","[62, 46]",-80.14,Medium
-29.576998,27.430947,"[54, 30, 33, 35, 63, 44, 42]","[64, 53, 41]",-90.08,High
-29.293374,28.983829,"[27, 60]","[26, 60]",-80.41,Low
-29.281984,29.324561,"[55, 43]","[56, 22, 36]",-83.68,Medium
-29.531102,27.510074,"[39, 25, 44, 48, 22, 46, 23]","[40, 29, 30, 65]",-74.26,Low
-29.500966,28.839184,"[60, 22, 49, 26, 58, 33, 38, 41]","[52, 41]",-76.49,Medium
-28.875828,28.508743,"[21, 48, 27]","[50, 38, 63]",-81.72,Low
-30.047822,28.785956,"[26, 62, 32, 65, 23, 46, 54, 43]","[24, 25, 29]",-77.19,Medium
-29.586835,28.25008,"[59, 33]","[63, 41]",-90.98,Low
-29.29252,28.74958,"[33, 47, 21, 41, 50]","[68, 35, 66, 57]",-72.97,High
-29.280632,29.350088,"[59, 50, 21, 22, 29, 31, 23, 39, 42]","[46, 45, 49]",-74.48,Low
-29.709464,28.597293,"[43, 48, 32, 61]","[23, 64, 58, 40]",-89.86,Low
-29.437847,29.209361,"[40, 50, 29, 56]","[48, 32, 25, 50, 44]",-83.9,Medium
-29.873812,28.423959,"[25, 37, 63, 47, 54, 66]","[21, 58]",-94.49,Medium
-30.058839,28.041574,"[46, 43]","[57, 25, 21, 42, 67]",-94.36,Medium
-29.238184,27.803935,"[21, 62]","[25, 61, 50]",-77.28,Low
-28.897328,27.91868,"[31, 61, 55, 36, 28]","[31, 57, 41, 55]",-83.35,High
-29.422507,29.021708,"[28, 34, 21, 64, 55]","[29, 28, 62, 41]",-81.32,High
-29.581268,27.75838,"[26, 46]","[42, 45, 47, 27]",-74.73,High
-29.05418,28.939349,"[36, 45, 61]","[52, 47, 43]",-62.66,Low
-30.281166,27.504192,"[26, 29, 30, 59, 41, 31, 44]","[24, 32]",-83.36,Medium
-29.727805,28.733851,"[61, 21]","[60, 25]",-77.55,High
-29.643418,28.978767,"[58, 25, 26, 44, 56, 60, 27, 52]","[24, 26, 42, 66]",-78.47,Low
-29.29812,27.530658,"[48, 47, 45, 64, 23, 38, 39, 58, 55]","[39, 43, 23, 29, 64]",-77.52,Low
-29.698162,27.441991,"[37, 62, 23, 43, 49]","[30, 31]",-67.76,High
-29.73991,28.144353,"[21, 68, 27, 63, 38, 57, 22]","[45, 32, 44]",-77.3,Low
-29.172803,28.922949,"[55, 35, 42, 26]","[26, 64, 33, 49]",-77.65,Low
-29.443697,28.994374,"[44, 43, 58, 59, 47]","[51, 67, 21, 27, 48]",-83.07,High
-30.280042,27.422349,"[58, 49, 25, 68, 38, 24, 66, 65, 34, 45]","[41, 38]",-67.53,Low
-29.327429,28.854032,"[64, 42, 48, 52, 41, 24, 31, 39, 22, 33]","[31, 39]",-80.36,Medium
-29.482277,28.818662,"[60, 57, 50, 40, 46]","[39, 46, 31, 35]",-72.05,Low
-29.527485,29.14682,"[40, 38, 34, 57, 30, 49, 68, 46, 63, 37]","[50, 42, 51]",-87.15,Medium
-28.756544,28.126413,"[56, 45, 59, 61, 38, 30, 42]","[32, 62, 27, 55]",-79.84,High
-30.032853,28.784145,"[59, 26, 31, 43]","[42, 63]",-75.62,High
-29.364771,29.171673,"[58, 33]","[46, 50, 37, 33, 26]",-71.47,Medium
-29.396736,28.048072,"[47, 44]","[33, 38, 30, 34, 45]",-82.92,Medium
-29.963492,28.948708,"[42, 53, 66, 24, 63, 27, 40, 49]","[65, 51, 23, 45, 35]",-78.6,High
-29.679877,28.011114,"[45, 35]","[50, 58, 25, 61, 63]",-69.15,Medium
-30.264892,27.469592,"[32, 47, 40, 53]","[65, 37]",-64.78,Medium
-29.998292,28.650141,"[24, 25, 40, 50, 61, 54]","[48, 55]",-72.87,Medium
-29.111992,28.146736,"[25, 48, 24, 21, 37, 39, 31, 64, 66]","[45, 56]",-84.89,Low
-29.913707,28.670862,"[43, 28, 60, 26, 51, 54, 62, 57, 24, 65]","[40, 32]",-84.75,High
-28.906829,28.238803,"[51, 39, 61]","[22, 68, 45, 51, 36]",-87.51,High
-29.882608,27.503294,"[61, 29, 60, 35, 44, 54, 53, 67, 46, 64]","[67, 54, 38, 33, 62]",-76.38,High
-29.586305,27.99075,"[41, 39, 42, 37, 60, 62, 63, 49, 33, 40]","[58, 68]",-86.01,Low
-30.018692,27.994175,"[31, 68, 63, 23]","[21, 58, 27]",-67.33,High
-28.685629,28.382298,"[25, 35]","[67, 56]",-86.0,Medium
-30.525798,28.072409,"[47, 26, 53, 50, 55]","[32, 27]",-64.07,Low
-29.447261,28.518359,"[64, 46, 41, 56, 25]","[53, 33, 62]",-87.96,Low
-30.026271,27.446582,"[31, 23, 22, 68, 41, 67, 25, 30, 65, 27]","[33, 25, 54, 46]",-84.65,High
-28.678903,28.576767,"[58, 62]","[31, 39]",-68.71,Low
-29.838425,28.985627,"[40, 49, 44]","[48, 67, 51, 61, 36]",-84.11,Low
-29.36928,28.825527,"[38, 22, 32, 48, 27]","[36, 31, 37, 68, 23]",-91.53,Medium
-30.059204,27.427339,"[50, 65]","[63, 43]",-84.19,Low
-29.308068,29.078976,"[35, 21]","[42, 30, 47]",-67.96,High
-29.990292,27.25291,"[53, 26]","[45, 36, 35]",-84.0,Low
