date,Cluster,Available Channels,Interference,Elevation,Population,Density,TVWS Range (km),Signal Strength (dBm),Spectrum Utilization (%),Temperature (°C),Humidity (%),Interference Level,Failure Rate (%)
2023-01-01,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,18.915597028650716,68.57136584309886,24.85423157335952,61.12686705435205,Low,3.838458830205009
2023-01-01,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,54.37859553542205,53.868097150899,24.39317969560662,55.1712707289109,Medium,1.7057369604605224
2023-01-01,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,39.83832362224755,75.70521924430165,16.75702479917851,55.245655710284936,Medium,2.155039088402258
2023-01-01,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,55.013503015161156,71.16159223831544,33.8712127594989,44.15155996662784,Low,1.1321763202323265
2023-01-02,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,27.29712986540997,77.73586692542322,34.07658630342051,69.05166122400507,Medium,4.044872021138704
2023-01-02,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,18.382216191920783,52.14474169911949,31.80084293390677,80.97515667984638,Low,2.4806675029213516
2023-01-02,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,16.05757097227672,77.88580694426973,22.915042648140712,64.04980472797544,Medium,2.474005520102955
2023-01-02,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,50.226332419141976,63.918465838681485,31.464725517914353,63.52984753778105,Low,2.240401706031586
2023-01-03,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,80.77155491983189,63.88138980027102,22.523610533159484,79.81005439808547,Medium,1.0159337227653533
2023-01-03,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,33.63400875068835,56.70387214332564,31.191156583784814,75.332843345551,Medium,4.9346010127217035
2023-01-03,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,21.343103912496936,65.25569894298904,29.67137946794118,33.984401422731786,Low,2.369222009344627
2023-01-03,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,97.10527133632347,71.45537762664195,31.63885959507672,36.00017274798975,Low,2.0805251145298786
2023-01-04,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,24.3998315963215,99.72839813701106,27.65224088893355,49.064060825276755,Medium,0.7476053138737515
2023-01-04,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,86.09641393680951,52.625523993016245,28.090691243278798,30.047136118295377,Low,3.500386249349711
2023-01-04,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,88.40302343146126,82.77593041949851,15.351556220680731,32.195092921055505,Medium,3.5093463886503353
2023-01-04,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,85.57870461813609,60.780685426254365,29.245532111882348,61.94901801647313,Low,0.10046422969576031
2023-01-05,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,38.03472368666307,89.90128236484189,30.065835728726142,51.08155256543442,High,0.7035891525303835
2023-01-05,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,99.63700272408067,50.124874674466604,17.527525530769537,61.68008226890409,Low,2.9945038278746363
2023-01-05,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,83.5050185579144,62.15246395518932,31.80056617331536,38.578416877434805,Medium,4.7893646936369665
2023-01-05,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,82.94518849988938,74.59268799503744,21.408312367552522,66.57844533015347,High,1.661640542477083
2023-01-06,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,78.23479118432509,67.08792016304311,34.77443569764793,84.05360441467677,High,1.8756277236605814
2023-01-06,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,92.34063950458713,87.6857926102152,22.233974272686595,77.63400248687762,Low,4.513813235129799
2023-01-06,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,86.5041174126009,88.42786630382112,15.024090824639813,70.67296167517517,High,4.0550811487152645
2023-01-06,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,80.65353986922553,75.86275503878973,24.41660880877545,32.03490823220179,High,3.0837169672746096
2023-01-07,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,23.46596470010832,50.04638790257994,27.77890276889881,86.42116291644957,Low,3.151500733336099
2023-01-07,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,73.63582098158622,52.125015555388266,27.1279806787621,67.88501901196778,Low,4.77799537941147
2023-01-07,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,35.394755466781305,72.65232593150452,22.394119977246778,39.03743277702269,High,3.1980710266404277
2023-01-07,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,63.24991069201125,66.46438865599428,24.21645405474433,76.42687592736667,Low,0.1881851399898471
2023-01-08,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,11.638975475324656,87.8841677397467,29.470011070335026,65.07179687144715,Low,0.4061188828661233
2023-01-08,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,66.93357350435244,75.50628248578694,18.146623080775356,43.28087575888452,High,0.7490970710400048
2023-01-08,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,22.398700046857478,62.51793867186526,19.400490208604623,61.221301550054214,Low,3.292221769081309
2023-01-08,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,81.57002654027067,93.56940371952692,34.218425954003806,36.35881900552468,Low,2.422732056176415
2023-01-09,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,74.29267195289654,82.52344205155195,19.629821514269178,37.971757579166876,Low,1.4146073261175218
2023-01-09,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,82.11471325621577,55.898863659252385,25.39337458417728,60.88497675117257,High,2.1479186929866314
2023-01-09,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,57.8125043914017,52.2059891089131,22.270085307747145,73.76917589187484,Low,4.227735962572429
2023-01-09,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,44.035421342441445,94.53421450576292,17.416825888955447,70.63590501505412,Low,2.6717786303363806
2023-01-10,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,68.14327697401794,58.836578436788876,15.549763452388133,56.77071972736079,Medium,3.543148550802302
2023-01-10,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,21.51296208482935,57.08070496836291,20.12863605861405,68.11730562817266,High,3.1120465473821373
