date,Cluster,Available Channels,Interference,Elevation,Population,Density,TVWS Range (km),Signal Strength (dBm),Spectrum Utilization (%),Temperature (°C),Humidity (%),Interference Level,Failure Rate (%)
2020-01-01,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,17.702815749228485,81.06221658574103,31.28546028934209,74.59070636310017,Medium,1.378589722589519
2020-01-01,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,63.09309459866265,83.85094962211954,34.870519198359176,87.83481364536314,Low,4.407274943714295
2020-01-01,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,66.84578775411308,86.82247024364521,27.270334134279853,85.49440503707834,Medium,0.18157631783671746
2020-01-01,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,26.839132248978434,62.130392485018945,19.19853816551997,46.64766334728573,Low,0.2135950861901176
2020-01-02,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,97.15992002282745,98.02841381543675,20.33465414518688,41.09300310120173,Medium,2.4549782135955023
2020-01-02,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,95.08089226569736,67.34039333593182,24.280332592514213,41.95761949626512,Medium,4.62874702634822
2020-01-02,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,89.9599716271753,53.21681000299422,19.97196679321101,47.730014606205216,Medium,4.993207847974798
2020-01-02,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,12.761357048966525,93.23783108638845,28.671872430400306,72.70313786461395,High,2.829869825136057
2020-01-03,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,25.00360789907691,84.58694584914309,20.136305937974278,86.23897913824979,Low,4.861707259580621
2020-01-03,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,58.561598404918556,59.1942422998711,31.911432155611426,80.84540884301282,Low,3.952708181882968
2020-01-03,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,60.640105813596456,78.71641793485011,19.981932230963253,72.66597256453912,Medium,3.429716990077283
2020-01-03,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,22.876049243687778,80.1819730221486,25.856967450472577,45.45050675536289,Low,0.37008682691492933
2020-01-04,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,61.775748214814215,86.42654302114876,17.053489370266277,41.8442375387508,High,3.2747985953307106
2020-01-04,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,32.12489677328229,69.1129667020997,27.40847075674146,38.829457083679,High,1.34720356757482
2020-01-04,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,37.31061549787249,98.87596727109359,29.120805713534956,83.27106477525896,Low,1.6376171624929794
2020-01-04,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,54.24252453628544,70.60730729951779,19.798811881368685,80.44398793951599,High,1.7212399456212137
2020-01-05,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,70.93234203586034,65.51785536980495,26.102576308499994,50.25276572453973,High,4.11874726021843
2020-01-05,Lesotho_tvws_1,"[54, 25, 41, 30, 66]",Low,264.0,39085,26.83,30,62.48916383411024,53.90352526081828,17.700120009799345,71.88576076370097,High,1.4838589282083525
2020-01-05,Lesotho_tvws_2,"[45, 58, 30, 66, 41]",Low,1914.0,39085,26.83,30,41.84658672524638,97.87976186549334,19.060974950269433,80.49218225953874,Low,4.8741654214725285
2020-01-05,Lesotho_tvws_3,"[45, 58, 50, 22, 66, 30]",Low,1021.0,39085,26.83,30,35.78124413381322,60.099071525892775,32.22636830484681,67.12781299351211,Low,4.370240252881283
2020-01-06,Lesotho_tvws_0,"[41, 25, 30, 66, 58]",Low,881.0,39085,26.83,30,29.759004996523455,81.65290874507384,34.592828149250565,50.01334024279185,Low,4.3236587300858105
